feature,mean_abs_shap
num__days_since_last_purchase,1.585926471005006
num__price_to_avg_cart_ratio,0.9092611522035674
num__total_orders,0.7999071451200175
num__click_through_proxy,0.40852437592199997
num__days_since_last_purchase_log,0.3347008924871682
num__price_log,0.29906051706401626
num__event_hour,0.2927655457136687
num__event_dayofweek,0.27552075635967777
cat__user_city_tier_Tier-1,0.2196546713085844
num__session_duration,0.18564136266210107
num__is_affordable,0.17950163960168136
num__user_age,0.15603970596063868
num__total_browsing_events,0.14331501261405652
cat__user_city_tier_Tier-3,0.10836724618151788
num__browsing_time_last_7d_log,0.08825833457186817
num__price,0.071777183475066
num__total_clicks,0.05620466684363782
num__browsing_time_last_7d_mins,0.045112124783731986
num__category_affinity,0.044024342621350666
num__avg_cart_value,0.04039541847752405
num__avg_cart_value_log,0.03326008744761347
cat__product_category_Fashion,0.019009236328862603
cat__product_category_Electronics,0.01814413251327351
cat__product_category_FMCG,0.01151985863484442
cat__product_brand_UrbanWeave,0.0
cat__product_brand_Nestle,0.0
cat__product_brand_TrendCraft,0.0
cat__product_brand_StyleHub,0.0
cat__product_brand_Sony,0.0
cat__product_brand_Samsung,0.0
cat__product_brand_Patanjali,0.0
cat__product_brand_Boat,0.0
cat__product_brand_ModaLeaf,0.0
cat__product_brand_JBL,0.0
cat__product_brand_ITC,0.0
cat__product_brand_HUL,0.0
cat__product_brand_Dove,0.0
cat__user_city_tier_Tier-2,0.0
cat__product_brand_Xiaomi,0.0
