feature,shap_value,feature_value,abs_shap
num__days_since_last_purchase,-1.3161697010695934,1.4505633038339834,1.3161697010695934
num__total_orders,-0.4327558547956869,-1.1799150743458051,0.4327558547956869
num__event_hour,-0.347438764506951,0.5866462476859406,0.347438764506951
num__session_duration,-0.28942395623773337,-0.17993334280179957,0.28942395623773337
num__is_affordable,-0.2710772156529129,-0.9040969551700891,0.2710772156529129
num__price_log,-0.26744511967524887,1.3491917708833958,0.26744511967524887
num__days_since_last_purchase_log,-0.26152877435088157,1.2156690447353882,0.26152877435088157
num__user_age,-0.23354821195825934,-0.31206054249309906,0.23354821195825934
num__click_through_proxy,0.2301709104096517,1.3864823031990496,0.2301709104096517
num__event_dayofweek,-0.18508953123819083,0.14998987462486488,0.18508953123819083
cat__user_city_tier_Tier-1,-0.14444083910435437,0.0,0.14444083910435437
cat__user_city_tier_Tier-3,0.1182596324570477,1.0,0.1182596324570477
num__browsing_time_last_7d_log,-0.11763073783367872,0.6576603338476859,0.11763073783367872
num__total_clicks,-0.10403894067741931,0.7928698033394105,0.10403894067741931
num__price,-0.06868318095803261,1.920569762044104,0.06868318095803261
num__price_to_avg_cart_ratio,-0.04452644928358495,0.7756711960656026,0.04452644928358495
num__category_affinity,-0.04030724323820323,-1.4399754899874877,0.04030724323820323
num__avg_cart_value_log,-0.024390340000391007,-0.22011955310877104,0.024390340000391007
num__avg_cart_value,-0.019010957758873702,-0.5221319849877891,0.019010957758873702
num__total_browsing_events,0.0153957814630121,-0.46701343311702675,0.0153957814630121
num__browsing_time_last_7d_mins,0.01376216024160385,0.47495787664714334,0.01376216024160385
cat__product_category_Fashion,-0.008053315645083785,0.0,0.008053315645083785
cat__product_category_Electronics,-0.004832266019657254,1.0,0.004832266019657254
cat__product_category_FMCG,-0.003956674784421921,0.0,0.003956674784421921
cat__product_brand_UrbanWeave,0.0,0.0,0.0
cat__product_brand_Nestle,0.0,0.0,0.0
cat__product_brand_TrendCraft,0.0,0.0,0.0
cat__product_brand_StyleHub,0.0,0.0,0.0
cat__product_brand_Sony,0.0,0.0,0.0
cat__product_brand_Samsung,0.0,0.0,0.0
cat__product_brand_Patanjali,0.0,0.0,0.0
cat__product_brand_Boat,0.0,0.0,0.0
cat__product_brand_ModaLeaf,0.0,0.0,0.0
cat__product_brand_JBL,0.0,1.0,0.0
cat__product_brand_ITC,0.0,0.0,0.0
cat__product_brand_HUL,0.0,0.0,0.0
cat__product_brand_Dove,0.0,0.0,0.0
cat__user_city_tier_Tier-2,0.0,0.0,0.0
cat__product_brand_Xiaomi,0.0,0.0,0.0
