user_id,product_id,event_time,user_age,user_city_tier,product_category,product_brand,price,price_log,session_duration,browsing_time_last_7d_mins,browsing_time_last_7d_log,days_since_last_purchase,days_since_last_purchase_log,avg_cart_value,avg_cart_value_log,total_orders,total_browsing_events,total_clicks,click_through_proxy,category_affinity,is_affordable,price_to_avg_cart_ratio,event_hour,event_dayofweek,purchased_within_7_days
U_030,P_007,2025-09-01 03:47:01,45,Tier-3,FMCG,ITC,234.02,5.459670616905795,3.51,4.918,1.7779985539780179,999.0,6.907755278982137,3263.75,8.090938469100516,0.0,10,1,0.1,1,1,0.07170279586365377,3,0,0
U_005,P_046,2025-09-01 15:45:49,25,Tier-1,Fashion,TrendCraft,3098.53,8.039005766075613,6.13,4.765,1.7518051537210222,0.0,0.0,2212.74,7.702438671864932,1.0,6,1,0.16666666666666666,1,0,1.4003136382946033,15,0,0
U_003,P_060,2025-09-01 20:05:22,32,Tier-1,Electronics,Xiaomi,15057.24,9.619680628654683,20.16,8.107272727272727,2.2090732951311,0.0,0.0,15057.24,9.619680628654683,2.0,11,6,0.5454545454545454,1,0,1.0,20,0,1
U_003,P_060,2025-09-01 20:05:22,32,Tier-1,Electronics,Xiaomi,15057.24,9.619680628654683,20.16,8.107272727272727,2.2090732951311,0.0,0.0,15057.24,9.619680628654683,2.0,11,6,0.5454545454545454,1,0,1.0,20,0,0
U_041,P_070,2025-09-02 09:02:53,42,Tier-2,Fashion,TrendCraft,4159.46,8.333380924065208,25.59,9.09,2.3115448343655176,0.0,0.0,2694.94,7.899502216591669,1.0,11,2,0.18181818181818182,1,0,1.5434332489777138,9,1,0
U_032,P_023,2025-09-03 03:40:53,32,Tier-3,FMCG,Nestle,471.11,6.157212009280883,3.78,11.6725,2.5394342913643673,0.0,0.0,491.84,6.200184577756468,1.0,4,0,0.0,1,1,0.9578521470396878,3,2,0
U_007,P_030,2025-09-04 00:54:59,56,Tier-1,FMCG,Patanjali,261.02,5.568420836725524,1.42,10.143636363636363,2.410868605259215,0.0,0.0,12089.61,9.400184397257455,2.0,11,2,0.18181818181818182,1,1,0.02159044005555183,0,3,0
U_012,P_028,2025-09-04 14:49:34,41,Tier-1,FMCG,HUL,799.08,6.68471172266826,7.28,8.426666666666668,2.2435425523602626,0.0,0.0,1670.855,7.421689067395996,2.0,6,2,0.3333333333333333,1,1,0.47824616738137066,14,3,0
U_034,P_017,2025-09-04 18:07:41,54,Tier-1,Electronics,Samsung,7183.53,8.879685382316469,7.77,6.136,1.9651523952777084,0.0,0.0,7183.53,8.879685382316469,1.0,5,1,0.2,1,1,1.0,18,3,1
U_009,P_009,2025-09-06 17:33:11,40,Tier-1,Electronics,Samsung,4166.63,8.335102807899682,11.26,9.932857142857143,2.3917726717665166,0.0,0.0,10757.460000000001,9.283447700796168,2.0,7,2,0.2857142857142857,1,1,0.3873247030432834,17,5,0
