event_id,user_id,product_id,event_type,event_time,session_duration
E_0225,U_030,P_007,click,2025-09-01 03:47:01,3.51
E_0203,U_005,P_046,view,2025-09-01 15:45:49,6.13
E_0043,U_003,P_060,click,2025-09-01 20:05:22,20.16
E_0125,U_041,P_070,click,2025-09-02 09:02:53,25.59
E_0260,U_032,P_023,view,2025-09-03 03:40:53,3.78
E_0103,U_007,P_030,view,2025-09-04 00:54:59,1.42
E_0087,U_012,P_028,click,2025-09-04 14:49:34,7.28
E_0132,U_034,P_017,view,2025-09-04 18:07:41,7.77
E_0031,U_009,P_009,view,2025-09-06 17:33:11,11.26
E_0174,U_035,P_033,view,2025-09-10 04:34:06,7.9
E_0247,U_044,P_029,view,2025-09-10 11:39:40,2.14
E_0156,U_010,P_057,view,2025-09-10 15:01:32,8.88
E_0185,U_017,P_056,click,2025-09-11 17:15:20,6.92
E_0136,U_038,P_003,view,2025-09-14 23:48:23,3.36
E_0190,U_025,P_043,view,2025-09-15 20:34:58,6.14
E_0165,U_038,P_050,view,2025-09-16 00:56:22,4.04
E_0072,U_039,P_027,view,2025-09-16 10:25:08,2.99
E_0144,U_023,P_045,view,2025-09-16 11:50:49,5.23
E_0141,U_022,P_032,view,2025-09-17 05:52:23,6.39
E_0124,U_030,P_061,view,2025-09-18 02:55:06,13.41
E_0201,U_039,P_049,click,2025-09-18 05:42:44,24.24
E_0248,U_045,P_016,view,2025-09-18 22:44:35,4.71
E_0058,U_011,P_043,click,2025-09-20 11:21:37,31.38
E_0030,U_010,P_033,view,2025-09-20 15:31:02,11.67
E_0120,U_030,P_040,view,2025-09-20 17:28:48,1.84
E_0011,U_011,P_010,view,2025-09-22 00:54:43,2.25
E_0062,U_029,P_039,view,2025-09-23 02:09:21,3.13
E_0057,U_016,P_068,view,2025-09-23 04:49:08,4.74
E_0054,U_031,P_011,view,2025-09-23 17:06:13,8.24
E_0040,U_028,P_047,view,2025-09-23 18:31:17,12.89
E_0013,U_030,P_006,view,2025-09-24 12:57:03,4.07
E_0055,U_027,P_047,view,2025-09-24 16:09:56,9.95
E_0067,U_042,P_017,view,2025-09-27 09:26:28,12.7
E_0066,U_041,P_036,view,2025-09-27 14:39:54,4.23
E_0096,U_032,P_045,view,2025-09-27 17:10:53,2.09
E_0179,U_031,P_019,view,2025-09-27 23:02:53,2.16
E_0207,U_024,P_056,view,2025-09-28 04:12:11,12.49
E_0086,U_005,P_007,view,2025-09-29 04:09:03,0.59
E_0251,U_012,P_002,click,2025-09-29 06:48:29,18.09
E_0090,U_011,P_070,view,2025-09-29 10:50:21,4.52
E_0134,U_020,P_025,click,2025-09-30 05:19:24,5.75
E_0027,U_021,P_003,view,2025-09-30 06:38:17,16.8
E_0064,U_036,P_056,click,2025-10-02 02:41:34,5.03
E_0073,U_004,P_051,click,2025-10-02 20:08:26,15.16
E_0238,U_011,P_060,view,2025-10-03 22:21:06,4.24
E_0121,U_008,P_031,view,2025-10-06 20:17:02,2.17
E_0032,U_013,P_062,view,2025-10-07 05:16:19,11.77
E_0241,U_018,P_010,view,2025-10-07 06:25:54,8.52
E_0004,U_036,P_007,view,2025-10-07 15:10:48,0.79
E_0005,U_030,P_045,view,2025-10-08 15:27:38,1.1
E_0029,U_003,P_060,click,2025-10-09 00:34:31,2.14
E_0012,U_031,P_032,view,2025-10-09 05:19:15,4.28
E_0089,U_018,P_038,view,2025-10-09 19:53:34,8.28
E_0148,U_036,P_068,click,2025-10-10 22:06:21,4.43
E_0105,U_028,P_070,view,2025-10-11 05:29:46,4.82
E_0109,U_007,P_013,view,2025-10-12 13:38:51,7.94
E_0163,U_045,P_022,click,2025-10-12 23:31:27,6.82
E_0191,U_035,P_035,view,2025-10-13 02:23:05,11.03
E_0016,U_004,P_075,view,2025-10-13 10:27:40,14.42
E_0133,U_033,P_017,click,2025-10-14 10:44:24,25.87
E_0186,U_043,P_050,click,2025-10-15 19:03:46,2.14
E_0108,U_040,P_046,view,2025-10-15 19:52:23,2.62
E_0197,U_034,P_008,view,2025-10-15 21:53:48,3.23
E_0070,U_007,P_052,click,2025-10-17 13:25:27,24.21
E_0210,U_043,P_019,click,2025-10-19 09:35:31,1.09
E_0218,U_001,P_017,click,2025-10-20 10:24:29,19.83
E_0140,U_027,P_019,view,2025-10-20 11:52:42,2.98
E_0127,U_003,P_042,view,2025-10-21 19:19:39,15.14
E_0082,U_038,P_023,click,2025-10-21 19:52:26,23.28
E_0094,U_042,P_050,click,2025-10-22 10:35:04,2.96
E_0106,U_039,P_035,view,2025-10-23 03:41:02,4.11
E_0021,U_019,P_060,view,2025-10-25 10:35:37,12.5
E_0246,U_040,P_047,view,2025-10-28 05:26:18,1.75
E_0259,U_007,P_056,view,2025-10-28 07:27:52,3.93
E_0138,U_038,P_045,click,2025-10-28 12:20:02,4.52
E_0135,U_035,P_071,view,2025-10-28 21:17:11,2.62
E_0151,U_038,P_028,view,2025-10-31 00:32:29,5.59
E_0050,U_003,P_011,click,2025-10-31 02:48:39,11.27
E_0110,U_038,P_014,view,2025-10-31 08:52:46,20.17
E_0061,U_030,P_046,view,2025-11-01 03:22:45,5.14
E_0100,U_013,P_018,view,2025-11-01 06:18:25,1.26
E_0162,U_016,P_066,view,2025-11-01 19:49:53,12.87
E_0129,U_044,P_035,view,2025-11-02 18:03:11,5.69
E_0153,U_025,P_041,view,2025-11-03 02:37:34,3.88
E_0041,U_005,P_066,view,2025-11-03 22:31:45,7.38
E_0034,U_026,P_006,click,2025-11-04 14:07:54,2.45
E_0237,U_041,P_004,view,2025-11-05 21:38:18,13.93
E_0222,U_027,P_025,view,2025-11-07 14:03:08,7.02
E_0154,U_013,P_026,view,2025-11-08 18:14:51,1.68
E_0188,U_003,P_031,click,2025-11-09 08:22:21,4.23
E_0157,U_017,P_004,view,2025-11-09 15:45:45,2.06
E_0023,U_005,P_074,view,2025-11-11 06:13:56,6.59
E_0065,U_026,P_052,click,2025-11-12 04:00:51,16.58
E_0051,U_009,P_031,click,2025-11-13 17:58:35,26.05
E_0199,U_032,P_010,view,2025-11-13 19:39:45,30.67
E_0019,U_009,P_040,view,2025-11-13 20:52:31,2.77
E_0003,U_028,P_054,click,2025-11-13 22:44:56,6.52
E_0018,U_038,P_050,view,2025-11-14 09:44:56,5.52
E_0219,U_020,P_060,view,2025-11-14 12:04:45,17.89
E_0175,U_040,P_057,view,2025-11-15 00:06:00,2.26
E_0254,U_028,P_043,click,2025-11-15 12:16:03,14.2
E_0204,U_023,P_049,click,2025-11-16 12:30:01,18.58
E_0245,U_038,P_062,view,2025-11-17 08:01:31,3.09
E_0168,U_007,P_048,view,2025-11-17 12:09:12,15.34
E_0115,U_005,P_020,view,2025-11-19 01:39:52,6.89
E_0077,U_040,P_039,click,2025-11-19 07:50:01,20.84
E_0146,U_017,P_066,click,2025-11-21 14:03:18,44.0
E_0228,U_036,P_061,view,2025-11-21 15:02:40,6.57
E_0113,U_005,P_026,click,2025-11-21 19:12:38,1.01
E_0091,U_043,P_045,click,2025-11-22 18:44:31,2.8
E_0234,U_043,P_057,click,2025-11-22 23:50:29,7.72
E_0038,U_021,P_024,view,2025-11-23 00:16:09,3.82
E_0053,U_036,P_031,view,2025-11-24 13:07:09,3.12
E_0167,U_035,P_071,view,2025-11-26 09:13:57,9.82
E_0173,U_041,P_002,view,2025-11-26 13:47:53,3.94
E_0244,U_025,P_037,click,2025-11-27 05:48:09,2.17
E_0172,U_014,P_011,click,2025-11-28 09:20:37,4.82
E_0242,U_011,P_017,view,2025-12-01 05:08:02,17.23
E_0068,U_007,P_033,view,2025-12-01 08:15:33,4.2
E_0033,U_009,P_014,view,2025-12-01 19:12:59,3.24
E_0152,U_003,P_026,view,2025-12-01 22:33:06,1.66
E_0079,U_037,P_075,click,2025-12-02 16:42:51,4.86
E_0258,U_044,P_043,view,2025-12-04 18:05:59,7.19
E_0097,U_002,P_063,view,2025-12-04 20:53:44,1.05
E_0249,U_036,P_007,view,2025-12-05 02:05:52,1.49
E_0071,U_041,P_073,view,2025-12-05 14:53:36,7.47
E_0160,U_036,P_042,view,2025-12-06 09:05:10,5.63
E_0017,U_023,P_039,view,2025-12-06 13:38:42,3.34
E_0147,U_026,P_004,view,2025-12-06 21:47:08,1.74
E_0026,U_030,P_019,view,2025-12-07 00:21:53,0.9
E_0119,U_019,P_029,view,2025-12-07 12:37:10,3.48
E_0200,U_014,P_020,view,2025-12-08 22:11:09,3.47
E_0076,U_015,P_049,view,2025-12-11 06:30:44,13.64
E_0187,U_026,P_033,view,2025-12-11 10:42:07,17.98
E_0128,U_020,P_069,view,2025-12-11 17:36:00,20.32
E_0116,U_040,P_005,view,2025-12-12 12:30:29,2.46
