product_id,title,category,brand,price
P_001,Samsung Bluetooth Speaker,Electronics,Samsung,6822.65
P_002,StyleHub Sneakers,Fashion,StyleHub,3080.69
P_003,Samsung Earbuds,Electronics,Samsung,5597.61
P_004,UrbanWeave T-Shirt,Fashion,UrbanWeave,3263.75
P_005,ModaLeaf Jacket,Fashion,ModaLeaf,2046.94
P_006,Patanjali Toothpaste,FMCG,Patanjali,1129.14
P_007,ITC Face Wash,FMCG,ITC,234.02
P_008,Patanjali Shampoo,FMCG,Patanjali,461.99
P_009,Samsung Headphones,Electronics,Samsung,4166.63
P_010,Boat Power Bank,Electronics,Boat,23230.3
P_011,TrendCraft Running Shoes,Fashion,TrendCraft,4009.36
P_012,Dove Soap,FMCG,Dove,368.89
P_013,Patanjali Face Wash,FMCG,Patanjali,819.18
P_014,JBL Power Bank,Electronics,JBL,20704.72
P_015,HUL Face Wash,FMCG,HUL,701.82
P_016,Boat Smart Watch,Electronics,Boat,13946.79
P_017,Samsung Earbuds,Electronics,Samsung,7183.53
P_018,ITC Protein Bar,FMCG,ITC,184.28
P_019,ITC Tea Pack,FMCG,ITC,1084.88
P_020,ModaLeaf Jeans,Fashion,ModaLeaf,4101.67
P_021,UrbanWeave T-Shirt,Fashion,UrbanWeave,3032.41
P_022,Xiaomi Power Bank,Electronics,Xiaomi,9467.2
P_023,Nestle Shampoo,FMCG,Nestle,471.11
P_024,StyleHub T-Shirt,Fashion,StyleHub,3403.82
P_025,Dove Toothpaste,FMCG,Dove,1084.76
P_026,HUL Soap,FMCG,HUL,1073.54
P_027,Nestle Tea Pack,FMCG,Nestle,953.46
P_028,HUL Soap,FMCG,HUL,799.08
P_029,ModaLeaf Sneakers,Fashion,ModaLeaf,836.56
P_030,Patanjali Soap,FMCG,Patanjali,261.02
P_031,Sony Headphones,Electronics,Sony,22616.02
P_032,TrendCraft Kurta,Fashion,TrendCraft,2925.72
P_033,Boat Headphones,Electronics,Boat,1716.13
P_034,TrendCraft Jacket,Fashion,TrendCraft,905.89
P_035,Samsung Power Bank,Electronics,Samsung,17092.29
P_036,StyleHub Kurta,Fashion,StyleHub,520.25
P_037,TrendCraft Sneakers,Fashion,TrendCraft,1143.23
P_038,UrbanWeave Sneakers,Fashion,UrbanWeave,2694.94
P_039,Sony Bluetooth Speaker,Electronics,Sony,17759.54
P_040,ITC Soap,FMCG,ITC,810.2
P_041,UrbanWeave T-Shirt,Fashion,UrbanWeave,1397.08
P_042,Boat Smart Watch,Electronics,Boat,18236.21
P_043,StyleHub Sneakers,Fashion,StyleHub,1449.0
P_044,Boat Power Bank,Electronics,Boat,9146.89
P_045,Nestle Shampoo,FMCG,Nestle,916.07
P_046,TrendCraft Jeans,Fashion,TrendCraft,3098.53
P_047,UrbanWeave Running Shoes,Fashion,UrbanWeave,3896.89
P_048,Dove Soap,FMCG,Dove,816.53
P_049,Sony Headphones,Electronics,Sony,14855.25
P_050,HUL Shampoo,FMCG,HUL,184.92
P_051,ITC Face Wash,FMCG,ITC,491.84
P_052,Samsung Power Bank,Electronics,Samsung,7732.26
P_053,Xiaomi Smart Watch,Electronics,Xiaomi,7233.76
P_054,Boat Earbuds,Electronics,Boat,24365.75
P_055,Xiaomi Power Bank,Electronics,Xiaomi,10737.8
P_056,Samsung Earbuds,Electronics,Samsung,22463.09
P_057,UrbanWeave Kurta,Fashion,UrbanWeave,3024.55
P_058,Patanjali Tea Pack,FMCG,Patanjali,970.19
P_059,TrendCraft Jacket,Fashion,TrendCraft,2510.55
P_060,Xiaomi Power Bank,Electronics,Xiaomi,15057.24
P_061,Sony Smart Watch,Electronics,Sony,13074.17
P_062,Dove Shampoo,FMCG,Dove,298.67
P_063,Patanjali Shampoo,FMCG,Patanjali,889.15
P_064,ITC Soap,FMCG,ITC,394.47
P_065,Dove Soap,FMCG,Dove,107.23
P_066,UrbanWeave Running Shoes,Fashion,UrbanWeave,3081.89
P_067,Nestle Toothpaste,FMCG,Nestle,278.36
P_068,StyleHub T-Shirt,Fashion,StyleHub,4261.83
P_069,StyleHub Running Shoes,Fashion,StyleHub,4315.71
P_070,TrendCraft Running Shoes,Fashion,TrendCraft,4159.46
P_071,Xiaomi Smart Watch,Electronics,Xiaomi,10198.73
P_072,Boat Power Bank,Electronics,Boat,1863.23
P_073,Samsung Earbuds,Electronics,Samsung,23315.49
P_074,UrbanWeave Kurta,Fashion,UrbanWeave,2212.74
P_075,ModaLeaf T-Shirt,Fashion,ModaLeaf,4366.62
