transaction_id,user_id,product_id,purchase_date,price,quantity
T_0001,U_003,P_060,2025-09-02 02:05:22,15057.24,1
T_0002,U_034,P_017,2025-09-06 01:07:41,7183.53,1
T_0003,U_025,P_043,2025-09-17 10:34:58,1449.0,1
T_0004,U_011,P_043,2025-09-24 07:21:37,1449.0,1
T_0005,U_024,P_056,2025-09-29 18:12:11,22463.09,1
T_0006,U_012,P_002,2025-10-03 01:48:29,3080.69,1
T_0007,U_036,P_056,2025-10-04 14:41:34,22463.09,1
T_0008,U_004,P_051,2025-10-03 07:08:26,491.84,1
T_0009,U_013,P_062,2025-10-10 22:16:19,298.67,1
T_0010,U_003,P_060,2025-10-10 07:34:31,15057.24,1
T_0011,U_045,P_022,2025-10-14 10:31:27,9467.2,1
T_0012,U_004,P_075,2025-10-16 20:27:40,4366.62,1
T_0013,U_033,P_017,2025-10-17 15:44:24,7183.53,1
T_0014,U_040,P_047,2025-10-31 19:26:18,3896.89,1
T_0015,U_007,P_056,2025-10-29 10:27:52,22463.09,1
T_0016,U_027,P_025,2025-11-09 22:03:08,1084.76,1
T_0017,U_005,P_074,2025-11-11 22:13:56,2212.74,1
T_0018,U_026,P_052,2025-11-15 03:00:51,7732.26,1
T_0019,U_009,P_040,2025-11-15 02:52:31,810.2,3
T_0020,U_040,P_039,2025-11-22 19:50:01,17759.54,1
T_0021,U_017,P_066,2025-11-22 11:03:18,3081.89,1
T_0022,U_043,P_045,2025-11-24 06:44:31,916.07,1
T_0023,U_035,P_071,2025-11-27 05:13:57,10198.73,1
T_0024,U_014,P_011,2025-11-28 20:20:37,4009.36,1
T_0025,U_009,P_014,2025-12-02 04:12:59,20704.72,1
T_0026,U_037,P_075,2025-12-03 15:42:51,4366.62,1
T_0027,U_036,P_042,2025-12-08 02:05:10,18236.21,1
T_0028,U_023,P_039,2025-12-09 19:38:42,17759.54,1
T_0029,U_004,P_032,2025-12-23 07:04:51,2925.72,1
T_0030,U_020,P_061,2025-12-31 16:44:31,13074.17,1
T_0031,U_012,P_030,2026-01-03 05:00:31,261.02,1
T_0032,U_024,P_070,2026-01-12 20:52:33,4159.46,1
T_0033,U_041,P_038,2026-02-15 01:02:20,2694.94,1
T_0034,U_032,P_051,2026-02-23 07:44:38,491.84,2
T_0035,U_019,P_020,2026-02-21 18:16:40,4101.67,1
T_0036,U_045,P_042,2026-03-12 09:30:12,18236.21,1
T_0037,U_043,P_051,2026-03-20 01:00:18,491.84,2
T_0038,U_033,P_021,2026-01-01 01:19:08,3032.41,1
T_0039,U_045,P_055,2026-01-18 02:55:08,10737.8,1
T_0040,U_007,P_033,2025-12-04 07:15:33,1716.13,1
T_0041,U_017,P_005,2026-02-13 23:50:37,2046.94,1
T_0042,U_022,P_032,2025-09-19 15:52:23,2925.72,1
