user_id,age,city_tier,gender,preferred_category
U_001,56,Tier-3,Male,Fashion
U_002,46,Tier-2,Male,Electronics
U_003,32,Tier-1,Male,Electronics
U_004,60,Tier-2,Female,Fashion
U_005,25,Tier-1,Female,Fashion
U_006,38,Tier-3,Female,Fashion
U_007,56,Tier-1,Female,FMCG
U_008,36,Tier-2,Male,Fashion
U_009,40,Tier-1,Female,Electronics
U_010,28,Tier-2,Female,FMCG
U_011,28,Tier-2,Female,Electronics
U_012,41,Tier-1,Female,FMCG
U_013,53,Tier-3,Female,FMCG
U_014,57,Tier-3,Female,Fashion
U_015,41,Tier-3,Male,Electronics
U_016,20,Tier-3,Male,Fashion
U_017,39,Tier-2,Male,Fashion
U_018,19,Tier-3,Male,Fashion
U_019,41,Tier-1,Female,Electronics
U_020,47,Tier-1,Male,Electronics
U_021,55,Tier-1,Female,Fashion
U_022,19,Tier-1,Female,Fashion
U_023,38,Tier-2,Male,FMCG
U_024,50,Tier-1,Male,Fashion
U_025,29,Tier-3,Female,Fashion
U_026,39,Tier-2,Male,Electronics
U_027,42,Tier-1,Male,FMCG
U_028,44,Tier-2,Male,Fashion
U_029,59,Tier-1,Male,FMCG
U_030,45,Tier-3,Female,FMCG
U_031,33,Tier-1,Female,Fashion
U_032,32,Tier-3,Female,FMCG
U_033,20,Tier-3,Female,Electronics
U_034,54,Tier-1,Female,Electronics
U_035,24,Tier-1,Male,Electronics
U_036,38,Tier-3,Female,Electronics
U_037,26,Tier-3,Female,Fashion
U_038,56,Tier-3,Female,FMCG
U_039,35,Tier-3,Female,Fashion
U_040,21,Tier-1,Male,Fashion
U_041,42,Tier-2,Male,Fashion
U_042,31,Tier-1,Male,Electronics
U_043,26,Tier-3,Male,FMCG
U_044,43,Tier-2,Female,Fashion
U_045,19,Tier-1,Female,Electronics
